Barreiro de Besteiros e Tourigo,27
Caparrosa e Silvares,28
Mouraz e Vila Nova da Rainha,29
Sao Joao do Monte e Mosteirinho,30
Sao Miguel do Outeiro e Sabugosa,31
Tondela e Nandufe,32
Vilar de Besteiros e Mosteiro de Fraguas,33
Vila Nova de Paiva,22
Pendilhe,03
Queiriga,04
Touro,05
Vila Cova A Coelheira,06
Vila Nova de Paiva, Alhais e Fraguas,08
Viseu,23
Abraveses,01
Bodiosa,04
Calde,05
Campo,06
Cavernaes,07
Cota,10
Fragosela,15
Lordosa,16
Silgueiros,17
Mundao,18
Orgens,19
Povolide,20
Ranhados,21
Ribafeita,22
Rio de Loba,23
Santos Evos,25
S. Joao de Lourosa,27
S. Pedro de France,29
Barreiros e Cepoes,35
Boa Aldeia, Farminhao e Torredeita,36
Couto de Baixo e Couto de Cima,37
Fail e Vila Cha de Sa,38
Repeses e Sao Salvador,39
Sao Cipriano e Vil de Souto,40
Viseu,41
Vouzela,24
Alcofra,01
Campia,03
Fornelo do Monte,07
Queira,09
S. Miguel do Mato,10
Ventosa,11
Cambra e Carvalhal de Vermilhas,13
Fatauncos e Figueiredo Das Donas,14
Vouzela e Pacos de Vilharigues,15
VILA REAL,17
Alijo,1
Alijo,01
Favaios,07
Pegarinhos,08
Pinhao,09
Sanfins do Douro,12
Santa Eugenia,13
S. Mamede de Ribatua,14
Vila Cha,16
Vila Verde,17
Vilar de Macada,18
Carlao e Amieiro,20
Castedo e Cotas,21
Populo e Ribalonga,22
Vale Mendiz, Casal Loivos, Vilarinho Cotas,23
Boticas,2
Beca,03
Covas do Barroso,08
Dornelas,10
Pinho,13
Sapiaos,15
Alturas do Barroso e Cerdedo,17
Ardaos e Bobadela,18
Boticas e Granja,19
Codessoso, Curros e Fiaes do Tamega,20
Vilar e Viveiro,21
Chaves,3
Aguas Frias,01
Anelhe,02
Bustelo,05
Cimo de Vila da Castanheira,09
Curalha,10
Ervededo,12
Faioes,13
Lama de Arcos,14
Mairos,16
Moreiras,17
Nogueira da Montanha,18
Oura,20
Outeiro Seco,21
Paradela,22
Redondelo,24
Sanfins,27
Santa Leocadia,29
Santo Antonio de Monforte,30
Santo Estevao,31
S. Pedro de Agostem,33
S. Vicente,34
Tronco,40
Vale de Anta,41
Vila Verde da Raia,43
Vilar de Nantes,44
Vilarelho da Raia,45
